"Source:","/Users/leonan.franca/Documents/Projects/Git/macunaima/expansao_bateria_rev1.1/expansao_bateria_rev1.1.kicad_sch"
"Date:","2023 September 06, Wednesday 11:19:22"
"Tool:","Eeschema 7.0.6-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","165"
"Ref","Qnty","Value","Cmp name","Footprint","Description","LCSC Part Number","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C39","14","4.7uF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C14, C15","2","47nF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C16, C17, C18, C19","4","33nF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C20","1","2.2uF/16V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C21","1","1uF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C22, C24","2","100pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C23","1","33pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C25","1","1800pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C26","1","15pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C27","1","680pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C28","1","56uF/25V","C_Polarized_Small_US","Capacitor_SMD:C_Elec_8x5.4","Polarized capacitor, small US symbol","C445041","",""
"C29","1","470nF/25V","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol","","",""
"C30","1","100pF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C31","1","68nF/10V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C32","1","1uF/16V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C33","1","470pF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C34, C37, C113, C116","4","2.2uF/100V","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol","C170101","",""
"C35","1","680pF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C36","1","22nF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C38, C40, C41","3","0.1uF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C42, C43","2","150PF/25V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","",""
"C44","1","33uF/35V","C_Polarized_Small_US","","Polarized capacitor, small US symbol","","",""
"C45","1","33uF/35V","C_Polarized_Small_US","Capacitor_SMD:C_1206_3216Metric","Polarized capacitor, small US symbol","","",""
"C46","1","10uF/25V","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","C172351","",""
"C122","1","100nF/100V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","C113803","",""
"C125","1","6.8nF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","C123518","",""
"C130","1","39pF/50V","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","C376784","",""
"C135, C139","2","47uF/16V","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","C172351","",""
"D1","1","ACDBC560","D_Schottky","Diode_SMD:D_SMC","Schottky diode","","",""
"D2","1","B370-13-F","D_Schottky","Diode_SMD:D_SMC","Schottky diode","","",""
"D3, D4","2","BAT54HT1G","D_Schottky","Diode_SMD:D_SOD-323","Schottky diode","","",""
"D5, D6, D7, D8, D9, D10","6","LED","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","","",""
"D28","1","B560C","B560C-13-F","Diode_SMD:D_SMC","DIODE SCHOTTKY 60V 5A SMC","C85100","",""
"F1, F2, F3, F4","4","BSMD2920-600-16V","Fuse","Fuse:BSMD2920","Fuse","C910847","",""
"FB1, FB2, FB21","3","FerriteBead_Small","FerriteBead_Small","Inductor_SMD:L_0603_1608Metric","Ferrite bead, small symbol","","",""
"FID1, FID2, FID3, FID4","4","Fiducial","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","Fiducial Marker","","",""
"J3, J4, J5, J6","4","Conn_01x02","Conn_01x02","Connector:KF202-5.0-2P","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J8","1","43045-0800","43045-0800","Connector_Molex:43045-08_00,01,02,10_","Micro-Fit 3.0 Right-Angle Header, 3.00mm Pitch, Dual Row, 8 Circuits, with Snap-in Plastic Peg PCB Lock","","",""
"JP1, JP2, JP3, JP4","4","~","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open","","",""
"L1","1","2.2uH / 9.5A","L_Small","Inductor_SMD:L_Sunlord_MWSA0603S","Inductor, small symbol","C408445","",""
"L2","1","IHLP5050CEER2R2M01","L_Small","Inductor_SMD:L_Vishay_IHLP-5050","Inductor, small symbol","IHLP5050CEER2R2M01","",""
"L6","1","8.2uH","L_Small","Inductor_SMD:MHCC10040-8R2M-R7","Inductor, small symbol","C285788","",""
"MK1, MK2, MK3, MK4","4","Mounting_Hole","Mounting_Hole","MountingHole:MountingHole_4.3mm_M4","Mounting Hole without connection","","",""
"Q1, Q2, Q4, Q5","4","CSD17551Q3A","NMOS_2","Package_SON:DNH0008A","N-MOSFET transistor, drain/source/gate","","",""
"Q3","1","CSD25402Q3A","PMOS","Package_SON:DNH0008A","P-MOSFET transistor, drain/source/gate","","",""
"Q6","1","NTMFS5C673NLT1G","CSD18540Q5B","Package_TO_SOT_SMD:TDSON-8-1","100A Id, 60V Vds, NexFET N-Channel Power MOSFET, 2.2mOhm Ron, 41nC Qg(typ), SON8 5x6mm","","",""
"Q7","1","PJM2302NSA-S","NMOS","Package_TO_SOT_SMD:SOT-23","N-MOSFET transistor, drain/source/gate","C411710","",""
"R1, R2","2","10m","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol","C2912661","",""
"R3, R4","2","4.99","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R5, R6, R8, R30","4","10 Ohm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R7","1","1 ohm","R_Small_US","Resistor_SMD:R_0805_2012Metric","Resistor, small US symbol","","",""
"R9","1","39k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R10","1","383k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R11","1","100k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R12","1","220k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R13","1","40.2k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R14","1","137k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R15, R17, R18, R19, R20, R21, R29, R34, R35, R37","10","10k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R16","1","30k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R22","1","681kOhm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R23","1","11.3 Ohm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R24","1","2.61 ohm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R25","1","4m Ohm","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol","","",""
"R26","1","56k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R27","1","825 Ohm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R28","1","18.7kOhm","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R31, R32, R33, R36","4","2k2","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R38","1","180R","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","","",""
"R106","1","523k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C23076","",""
"R107","1","84k5","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C403376","",""
"R111","1","162k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C403015","",""
"R116","1","13k","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C170711","",""
"R123","1","60k4","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C403296","",""
"R124","1","4k3","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol","C23159","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP17","10","TestPoint","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point","","",""
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP18, TP19","9","~","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point","","",""
"U1","1","BQ25713RSNR","BQ25713","Package_DFN_QFN:Texas_S-PWQFN-N32_EP2.8x2.8mm_ThermalVias","","C2878935","",""
"U2","1","TPS40210DGQ","TPS40210","Package_SO:MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm_ThermalVias","","C14728","",""
"U3","1","LM3480-3.3","LM3480-3.3","Package_TO_SOT_SMD:SOT-23","100mA, Quasi Low Dropout Voltage Regulator, 3.3V positive fixed output, SOT-23 package","","",""
"U24","1","TPS54360BDDAR","TPS54360BDDAR","Package_SO:SOIC127P600X170-9N","","C524806","",""
