Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF/25V","C_0402_1005Metric",45.651000,-31.416000,90.000000,top
"C2","4.7uF/25V","C_0402_1005Metric",47.612500,-31.416000,90.000000,top
"C3","4.7uF/25V","C_0402_1005Metric",49.574000,-31.416000,90.000000,top
"C4","4.7uF/25V","C_0402_1005Metric",51.535500,-31.416000,90.000000,top
"C5","4.7uF/25V","C_0402_1005Metric",47.479000,-40.241000,-90.000000,top
"C6","4.7uF/25V","C_0402_1005Metric",49.567000,-40.215000,-90.000000,top
"C7","4.7uF/25V","C_0402_1005Metric",17.990000,-34.178000,180.000000,top
"C8","4.7uF/25V","C_0402_1005Metric",17.990000,-32.229000,180.000000,top
"C9","4.7uF/25V","C_0402_1005Metric",17.989000,-30.280000,180.000000,top
"C10","4.7uF/25V","C_0402_1005Metric",17.989000,-28.331000,180.000000,top
"C11","4.7uF/25V","C_0402_1005Metric",17.989000,-26.382000,180.000000,top
"C12","4.7uF/25V","C_0402_1005Metric",17.989000,-24.433000,180.000000,top
"C13","4.7uF/25V","C_0402_1005Metric",23.804000,-31.414000,-90.000000,top
"C14","47nF/25V","C_0402_1005Metric",32.483000,-34.001000,0.000000,top
"C15","47nF/25V","C_0402_1005Metric",37.813000,-33.929000,0.000000,top
"C16","33nF/25V","C_0402_1005Metric",18.824000,-37.226000,-90.000000,top
"C17","33nF/25V","C_0402_1005Metric",25.939000,-37.145000,90.000000,top
"C18","33nF/25V","C_0402_1005Metric",41.203000,-47.001000,180.000000,top
"C19","33nF/25V","C_0402_1005Metric",47.459000,-47.001000,0.000000,top
"C20","2.2uF/16V","C_0402_1005Metric",35.403000,-33.345000,90.000000,top
"C21","1uF/25V","C_0402_1005Metric",26.917000,-42.095000,-90.000000,top
"C22","100pF","C_0402_1005Metric",33.274200,-50.294000,-90.000000,top
"C23","33pF","C_0402_1005Metric",30.041000,-45.112000,-90.000000,top
"C24","100pF","C_0402_1005Metric",36.631400,-50.294000,-90.000000,top
"C25","1800pF","C_0402_1005Metric",33.233200,-45.112000,-90.000000,top
"C26","15pF","C_0402_1005Metric",38.269000,-45.136000,-90.000000,top
"C27","680pF","C_0402_1005Metric",34.911800,-45.136000,-90.000000,top
"C28","56uF/25V","C_Elec_8x5.4",56.706000,-62.187000,90.000000,top
"C29","470nF/25V","C_0603_1608Metric",49.352000,-76.298000,-90.000000,top
"C30","100pF/50V","C_0402_1005Metric",50.205000,-63.014334,90.000000,top
"C31","68nF/10V","C_0402_1005Metric",50.205000,-59.861000,-90.000000,top
"C32","1uF/16V","C_0402_1005Metric",42.182000,-59.697000,-90.000000,top
"C33","470pF/50V","C_0402_1005Metric",39.854000,-61.383000,0.000000,top
"C34","2.2uF/100V","C_1206_3216Metric",20.878000,-67.791000,0.000000,top
"C35","680pF/50V","C_0402_1005Metric",44.182750,-59.758000,90.000000,top
"C36","22nF/50V","C_0402_1005Metric",48.204250,-59.789000,-90.000000,top
"C37","2.2uF/100V","C_1206_3216Metric",20.843000,-71.008000,0.000000,top
"C38","0.1uF/25V","C_0402_1005Metric",44.401000,-46.992000,0.000000,top
"C39","4.7uF/25V","C_0402_1005Metric",51.522000,-40.267000,-90.000000,top
"C40","0.1uF/25V","C_0402_1005Metric",20.161000,-52.813000,-90.000000,top
"C41","0.1uF/25V","C_0402_1005Metric",13.875000,-52.780000,-90.000000,top
"C42","150PF/25V","C_0402_1005Metric",47.067000,-25.108000,0.000000,top
"C43","150PF/25V","C_0402_1005Metric",23.468000,-27.051000,180.000000,top
"C44","4.7uF/25V","C_1206_3216Metric",76.466000,-40.628000,0.000000,top
"C45","4.7uF/25V","C_1206_3216Metric",50.996000,-49.419000,-90.000000,top
"C46","10uF/25V","C_1206_3216Metric",76.482000,-26.071000,180.000000,top
"C47","4.7uF/25V","C_1206_3216Metric",76.411000,-55.135000,0.000000,top
"C48","4.7uF/25V","C_1206_3216Metric",76.427000,-69.563000,0.000000,top
"C113","2.2uF/100V","C_1206_3216Metric",18.244000,-9.614000,90.000000,top
"C116","2.2uF/100V","C_1206_3216Metric",21.094000,-9.614000,-90.000000,top
"C122","100nF/100V","C_0402_1005Metric",27.620000,-3.909000,0.000000,top
"C125","6.8nF/50V","C_0402_1005Metric",35.186000,-14.639000,-90.000000,top
"C130","39pF/50V","C_0402_1005Metric",33.348500,-14.639000,90.000000,top
"C135","47uF/16V","C_1206_3216Metric",52.866000,-14.513000,0.000000,top
"C139","47uF/16V","C_1206_3216Metric",52.931000,-18.640000,180.000000,top
