Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/6.3V","C_0402_1005Metric",93.119248,-64.819299,-90.000000,top
"C2","150uF/6.3V","C_1206_3216Metric",89.210900,-66.184823,180.000000,top
"C3","100nF/6.3V","C_0402_1005Metric",95.657706,-32.957020,180.000000,top
"C4","33pF/6.3V","C_0402_1005Metric",95.657706,-34.557020,180.000000,top
"C5","33pF/6.3V","C_0402_1005Metric",95.657706,-38.037020,180.000000,top
"C6","33pF/6.3V","C_0402_1005Metric",95.657706,-36.747020,180.000000,top
"C7","0.1uF","C_0402_1005Metric",80.135322,-113.829484,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",62.618844,-113.829484,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",86.921478,-113.829484,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",69.405000,-113.829484,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",83.528398,-113.829484,90.000000,top
"C12","0.1uF","C_0402_1005Metric",66.011920,-113.829484,90.000000,top
"C13","0.1uF","C_0402_1005Metric",75.624554,-113.829484,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",58.108076,-113.829484,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",72.231478,-113.829484,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",54.715000,-113.829484,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",79.017630,-113.829484,90.000000,top
"C18","0.1uF","C_0402_1005Metric",61.501152,-113.829484,90.000000,top
"C19","22nF/100V","C_0603_1608Metric",99.828571,-134.921200,90.000000,top
"C20","22nF/100V","C_0603_1608Metric",82.166070,-134.408240,90.000000,top
"C21","22nF/100V","C_0603_1608Metric",66.168571,-134.408240,90.000000,top
"C22","22nF/100V","C_0603_1608Metric",48.458571,-134.921200,90.000000,top
"C23","100nF","C_0402_1005Metric",69.989231,-76.551200,0.000000,top
"C24","10nF","C_0402_1005Metric",61.558407,-71.704868,-90.000000,top
"C25","1uF","C_0402_1005Metric",60.488407,-71.704868,90.000000,top
"C26","100nF","C_0402_1005Metric",65.578407,-71.989777,90.000000,top
"C27","4.7uF","C_0402_1005Metric",55.725000,-82.051200,180.000000,top
"C28","100nF","C_0402_1005Metric",57.260000,-71.696200,90.000000,top
"C29","100nF/6.3V","C_0402_1005Metric",98.842207,-19.662020,180.000000,top
"C30","33pF/6.3V","C_0402_1005Metric",98.842207,-18.392020,180.000000,top
"C31","33pF/6.3V","C_0402_1005Metric",98.842207,-17.122020,180.000000,top
"C32","33pF/6.3V","C_0402_1005Metric",108.805129,-17.662020,0.000000,top
"C33","100nF/50V","C_0603_1608Metric",80.892600,-78.533700,0.000000,top
"C34","100nF/100V","C_0603_1608Metric",101.695000,-94.753700,180.000000,top
"C35","100nF/100V","C_0603_1608Metric",101.695000,-75.173700,0.000000,top
"C36","22nF/100V","C_0603_1608Metric",96.972143,-134.921200,90.000000,top
"C37","22nF/100V","C_0603_1608Metric",79.309642,-134.408240,90.000000,top
