Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF/6.3V","C_0402_1005Metric",109.642821,-64.799872,-90.000000,top
"C2","150uF/6.3V","C_1206_3216Metric",105.734473,-66.165396,180.000000,top
"C3","100nF/6.3V","C_0402_1005Metric",112.181279,-32.937593,180.000000,top
"C4","33pF/6.3V","C_0402_1005Metric",112.181279,-34.537593,180.000000,top
"C5","33pF/6.3V","C_0402_1005Metric",112.181279,-38.017593,180.000000,top
"C6","33pF/6.3V","C_0402_1005Metric",112.181279,-36.727593,180.000000,top
"C7","0.1uF","C_0402_1005Metric",96.658895,-113.810057,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",79.142417,-113.810057,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",103.445051,-113.810057,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",85.928573,-113.810057,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",100.051971,-113.810057,90.000000,top
"C12","0.1uF","C_0402_1005Metric",82.535493,-113.810057,90.000000,top
"C13","0.1uF","C_0402_1005Metric",92.148127,-113.810057,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",74.631649,-113.810057,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",88.755051,-113.810057,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",71.238573,-113.810057,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",95.541203,-113.810057,90.000000,top
"C18","0.1uF","C_0402_1005Metric",78.024725,-113.810057,90.000000,top
"C19","22nF/100V","C_0603_1608Metric",116.352144,-133.901773,90.000000,top
"C20","22nF/100V","C_0603_1608Metric",98.689643,-134.388813,90.000000,top
"C21","22nF/100V","C_0603_1608Metric",82.692144,-134.388813,90.000000,top
"C22","22nF/100V","C_0603_1608Metric",64.982144,-133.901773,90.000000,top
"C23","100nF","C_0402_1005Metric",86.512804,-76.531773,0.000000,top
"C24","10nF","C_0402_1005Metric",78.081980,-71.685441,-90.000000,top
"C25","1uF","C_0402_1005Metric",77.011980,-71.685441,90.000000,top
"C26","100nF","C_0402_1005Metric",82.101980,-71.970350,90.000000,top
"C27","4.7uF","C_0402_1005Metric",72.248573,-82.031773,180.000000,top
"C28","100nF","C_0402_1005Metric",73.783573,-71.676773,90.000000,top
"C29","100nF/6.3V","C_0402_1005Metric",115.365780,-19.642593,180.000000,top
"C30","33pF/6.3V","C_0402_1005Metric",115.365780,-18.372593,180.000000,top
"C31","33pF/6.3V","C_0402_1005Metric",115.365780,-17.102593,180.000000,top
"C32","33pF/6.3V","C_0402_1005Metric",125.328702,-17.642593,0.000000,top
"C33","100nF/50V","C_0603_1608Metric",97.416173,-78.514273,0.000000,top
"C34","100nF/100V","C_0603_1608Metric",118.218573,-94.734273,180.000000,top
"C35","100nF/100V","C_0603_1608Metric",118.218573,-75.154273,0.000000,top
"C36","22nF/100V","C_0603_1608Metric",113.495716,-133.901773,90.000000,top
"C37","22nF/100V","C_0603_1608Metric",95.833215,-134.388813,90.000000,top
"C38","22nF/100V","C_0603_1608Metric",79.835716,-134.388813,90.000000,top
"C39","22nF/100V","C_0603_1608Metric",62.125716,-133.901773,90.000000,top
"C40","100nF","C_0402_1005Metric",89.163573,-76.996773,-90.000000,top
"C41","10pF","C_0402_1005Metric",79.861980,-62.751773,0.000000,top
"C42","10pF","C_0402_1005Metric",81.841980,-62.751773,180.000000,top
"C43","20pF","C_0402_1005Metric",82.738707,-67.671773,-90.000000,top
"C44","20pF","C_0402_1005Metric",76.965254,-67.671773,90.000000,top
"C45","22nF/100V","C_0603_1608Metric",110.639288,-133.901773,90.000000,top
"C46","22nF/100V","C_0603_1608Metric",92.976787,-134.388813,90.000000,top
"C47","22nF/100V","C_0603_1608Metric",76.979288,-134.388813,90.000000,top
"C48","22nF/100V","C_0603_1608Metric",59.269288,-133.901773,90.000000,top
"C49","22nF/100V","C_0603_1608Metric",107.782860,-133.901773,90.000000,top
"C50","22nF/100V","C_0603_1608Metric",90.120359,-134.388813,90.000000,top
"C51","22nF/100V","C_0603_1608Metric",74.122860,-134.388813,90.000000,top
"C52","22nF/100V","C_0603_1608Metric",56.412860,-133.901773,90.000000,top
"C53","1000pF/2kV","C_1206_3216Metric",119.628573,-133.081773,-90.000000,top
"C54","1000pF/2kV","C_1206_3216Metric",101.966072,-133.568813,-90.000000,top
"C55","1000pF/2kV","C_1206_3216Metric",85.968573,-133.568813,-90.000000,top
"C56","1000pF/2kV","C_1206_3216Metric",68.258573,-133.081773,-90.000000,top
"C57","100nF/6.3V","C_0402_1005Metric",117.954578,-23.930093,180.000000,top
"C58","100nF","C_0402_1005Metric",71.948573,-111.651773,180.000000,top
"C59","100nF/100V","C_0603_1608Metric",109.308573,-78.491773,180.000000,top
"C60","100nF","C_0402_1005Metric",81.518573,-55.036773,90.000000,top
"C61","100nF/100V","C_0402_1005Metric",19.623573,-22.903973,180.000000,top
"C62","2.2uF/100V","C_1206_3216Metric",20.528573,-25.896573,0.000000,top
"C63","2.2uF/100V","C_1206_3216Metric",25.285573,-25.896573,0.000000,top
"C64","47uF/16V","C_1206_3216Metric",8.016573,-23.307973,0.000000,top
"C65","47uF/16V","C_1206_3216Metric",8.068573,-20.273973,180.000000,top
